Code,Title,Score,Author
204624,킬러의 보디가드 2,4,yhoc****
187549,파이프라인,4,mirj****
204496,랑종,1,chae****
204781,썰,3,mirj****
120165,해어화,10,lady****
200896,꽃다발 같은 사랑을 했다,9,fprl****
204496,랑종,2,oonj****
71932,친정엄마,10,imgi****
194205,발신제한,2,blas****
184318,블랙 위도우,10,sill****
35554,레인 오브 파이어,10,fjqq****
204496,랑종,8,shs0****
200896,꽃다발 같은 사랑을 했다,1,ekdr****
129687,피닉스,10,mist****
180381,장난스런 키스,10,euns****
82283,실버라이닝 플레이북,10,dsmi****
178267,샤먼 로드,9,mira****
39879,아일랜드,10,song****
37886,클레멘타인,10,melc****
181411,해피 데스데이 2 유,2,sjjo****
72072,라스트 나잇,8,dudm****
189368,콰이어트 플레이스 2,10,ajsu****
184318,블랙 위도우,10,jimi****
191548,이스케이프 룸 2: 노 웨이 아웃,10,loon****
191597,보스 베이비 2,4,prno****
194205,발신제한,6,smal****
129230,바후발리: 더 비기닝,10,hanp****
102431,18 : 우리들의 성장 느와르,6,sept****
196533,퍼펙트 케어,10,muoo****
191597,보스 베이비 2,10,cour****
204496,랑종,6,mghe****
71932,친정엄마,10,cher****
184318,블랙 위도우,10,mh41****
184318,블랙 위도우,2,tcap****
204643,허드 앤 씬,2,tata****
184318,블랙 위도우,9,rain****
196051,극장판 귀멸의 칼날: 무한열차편,10,1231****
10158,007 선더볼 작전,8,coco****
196055,어니스트 씨프,1,lsy9****
189141,삼진그룹 영어토익반,6,thdg****
184318,블랙 위도우,3,byeo****
195691,어른들은 몰라요,1,han1****
112236,젊은 엄마,10,clas****
35360,이도공간,2,syyt****
194205,발신제한,1,jihy****
194205,발신제한,1,jaey****
187637,은지: 돌이킬 수 없는 그녀,6,kang****
184318,블랙 위도우,10,djfl****
204496,랑종,10,kyz6****
167421,돌멩이,8,fres****
192620,비와 당신의 이야기,4,jung****
44913,아수라,10,rhsd****
194205,발신제한,10,jkb0****
205966,아이스 로드,1,empt****
204496,랑종,2,ho30****
158178,독전,1,gong****
184318,블랙 위도우,8,ho30****
186342,승리호,1,maca****
180425,이스케이프 룸,5,happ****
184318,블랙 위도우,10,sjmi****
168011,콰이어트 플레이스,2,imub****
58333,혐오스런 마츠코의 일생,8,yaso****
118323,성실한 나라의 앨리스,3,yaso****
194205,발신제한,8,side****
156091,심야식당2,8,cwim****
167584,뮤즈,8,bell****
157178,"나는 내일, 어제의 너와 만난다",10,bsoh****
40887,미스터 주부퀴즈왕,10,towe****
129095,지오스톰,1,jazz****
189001,인비저블맨,9,dudm****
11307,보디가드,10,jofa****
186342,승리호,10,iwel****
199864,크리스마스 연대기: 두 번째 이야기,10,dudm****
34225,워크 투 리멤버,9,swee****
167059,리벤지,1,skin****
71081,블라인드 사이드,10,h496****
187308,조조 래빗,10,melo****
11815,사랑의 기쁨,7,adiv****
66471,왓치맨,9,holo****
12036,어젯밤에 생긴 일,6,adiv****
199269,야쿠자와 가족,9,q083****
190011,몬스터 헌터,3,mais****
152681,프로페서 앤 매드맨,7,adiv****
142242,이웃집에 신이 산다,6,happ****
167421,돌멩이,2,mije****
