Title,Code,Genre,Nation,Director,Actor,Movie Code
그린 북,171539,['드라마'],['미국'],['피터 패럴리'],"['비고 모텐슨', '마허샬라 알리']",
가버나움,174830,['드라마'],"['레바논', '프랑스']",['나딘 라바키'],"['자인 알 라피아', '요르다노스 시프로우']",
디지몬 어드벤처 라스트 에볼루션 : 인연,192613,"['애니메이션', '모험']",['일본'],['타구치 토모히사'],"['하나에 나츠키', '호소야 요시마사', '사카모토 치카']",
원더,151196,['드라마'],['미국'],['스티븐 크보스키'],"['제이콥 트렘블레이', '줄리아 로버츠', '오웬 윌슨']",
베일리 어게인,144906,"['모험', '코미디', '드라마']",['미국'],['라세 할스트롬'],"['조시 게드', '데니스 퀘이드', 'K.J. 아파']",
먼 훗날 우리,175092,"['드라마', '멜로/로맨스']",['중국'],['유약영'],"['정백연', '주동우', '톈좡좡']",
아일라,169240,"['드라마', '전쟁']","['한국', '터키']",['잔 울카이'],"['김설', '이스마일 하지오글루']",
당갈,157243,"['드라마', '액션']",['인도'],['니테쉬 티와리'],"['아미르 칸', '파티마 사나 셰이크', '산야 말호트라']",
포드 V 페라리,181710,"['액션', '드라마']",['미국'],['제임스 맨골드'],"['맷 데이먼', '크리스찬 베일']",
극장판 바이올렛 에버가든,196843,"['애니메이션', '드라마', '판타지']",['일본'],['이시다테 타이치'],"['이시카와 유이', '나미카와 다이스케']",
주전장,179518,['다큐멘터리'],['미국'],['미키 데자키'],['전체 관람가'],
쇼생크 탈출,17421,['드라마'],['미국'],['프랭크 다라본트'],"['팀 로빈스', '모건 프리먼']",
"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",196828,['공연실황'],['한국'],['오윤동'],['김호중'],
터미네이터 2:오리지널,10200,"['SF', '액션', '스릴러']","['미국', '프랑스']",['제임스 카메론'],['아놀드 슈왈제네거'],
나 홀로 집에,10016,"['모험', '범죄', '가족', '코미디']",['미국'],['크리스 콜럼버스'],"['맥컬리 컬킨', '조 페시', '다니엘 스턴']",
덕구,154667,['드라마'],['한국'],['방수인'],"['이순재', '정지훈']",
라이언 일병 구하기,18988,"['전쟁', '액션', '드라마']",['미국'],['스티븐 스필버그'],"['톰 행크스', '에드워드 번즈', '톰 시즈모어']",
클래식,35939,"['멜로/로맨스', '드라마']",['한국'],['곽재용'],"['손예진', '조승우', '조인성']",
월-E,69105,"['애니메이션', 'SF', '가족', '코미디', '멜로/로맨스', '모험']",['미국'],['앤드류 스탠튼'],"['벤 버트', '엘리사 나이트', '제프 갈린']",
보헤미안 랩소디,156464,['드라마'],"['미국', '영국']",['브라이언 싱어'],"['라미 말렉', '루시 보인턴', '귈림 리']",
잭 스나이더의 저스티스 리그,203288,"['액션', '모험', '판타지', 'SF']",['미국'],['잭 스나이더'],"['벤 애플렉', '헨리 카빌', '갤 가돗']",
사운드 오브 뮤직,10102,"['멜로/로맨스', '뮤지컬', '드라마']",['미국'],['로버트 와이즈'],"['줄리 앤드류스', '크리스토퍼 플러머', '엘레노 파커']",
포레스트 검프,17159,"['드라마', '코미디']",['미국'],['로버트 저메키스'],['톰 행크스'],
빽 투 더 퓨쳐,10002,"['SF', '코미디']",['미국'],['로버트 저메키스'],"['마이클 J. 폭스', '크리스토퍼 로이드', '리 톰슨']",
글래디에이터,29217,"['액션', '드라마']","['미국', '영국']",['리들리 스콧'],"['러셀 크로우', '호아킨 피닉스', '코니 닐슨']",
위대한 쇼맨,106360,"['드라마', '뮤지컬']",['미국'],['마이클 그레이시'],"['휴 잭맨', '잭 에프론', '미셸 윌리엄스']",
헬프,82432,['드라마'],['미국'],['테이트 테일러'],"['엠마 스톤', '비올라 데이비스', '옥타비아 스펜서']",
타이타닉,18847,"['멜로/로맨스', '드라마']",['미국'],['제임스 카메론'],"['레오나르도 디카프리오', '케이트 윈슬렛']",
